github,successors,unresponsives,incompletes,ai,codehealth,coverage,test_runs,measured_time,estimated_time,entry-demo-1,entry-demo-2,entry-demo-3,entry-demo-4,entry-demo-5,entry-ai-1,entry-ai-2,entry-ai-3,entry-ai-4,entry-ai-5,entry-ai-6,entry-ai-7,entry-ai-8,entry-ai-9,entry-ai-10,entry-date,exit-uninterrupted,exit-used-ai,exit-ai-text,exit-ai-frequency,exit-resemblance,exit-tools-text,exit-space-1,exit-space-2,exit-space-3,exit-space-4,exit-space-5,exit-space-6,exit-space-7,exit-space-8,exit-space-9,exit-space-10,exit-final-text,exit-date,email-text,gh-commits,gh-additions,gh-deletions,gh-changes,gh-changed-files,gh-adds-unit-test,gh-adds-behavioural-test,gh-adds-functional,gh-adds-sql,gh-adds-logging,gh-adds-exception-handling,gh-adds-dependency,clean_time,pp_mean
anon078,1,2,0,True,8.23,0.71,4.0,6889,,Man,40-49,United Kingdom,Professional,Advanced,Yes,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,11/10/2024 17:55:49,Yes,Yes,Cursor,Every statement,5.0,,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,make it more practical for modern day development by using dev containers and containers,12/7/2024 23:28:41,,1,83,10,93,3,False,True,False,False,True,False,False,6889.0,5.0
anon076,2,1,0,True,8.4,0.7,26.0,61340,14400.0,Man,50-59,United Kingdom,Professional,Intermediate,Yes,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,11/10/2024 13:55:21,No,Yes,Cursor,Every statement,4.0,,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,"I'm not a Java developer by trade, but thanks to cursor I felt fluent since I knew how to solve the problem from principles point of view and I havent to deal with Java",11/29/2024 11:08:01,,15,863,305,1168,13,False,False,True,False,True,True,False,14400.0,4.7
anon045,2,0,1,False,8.31,0.69,,10522,,Man,20-29,Switzerland,Professional,Intermediate,No,,,,,,,,,,27/11/2024 12:04:29,Yes,No,,,3.0,,5.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,,12/2/2024 18:49:30,,4,184,122,306,10,True,False,True,False,True,False,False,10522.0,3.9
anon021,0,3,3,False,8.18,0.7,8.0,18975,14400.0,Man,30-39,Thailand,Professional,Advanced,Yes,3.0,4.0,5.0,5.0,2.0,5.0,1.0,4.0,3.0,15/11/2024 06:39:26,"Yes, but breaks",No,,,2.0,,4.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,"It looked like I had no ability to fix the front end display, I wasted time trying to fix the visual part as these kinds of bugs are hard to justify.",12/3/2024 2:11:27,"I would estimate 4 hours. I am not that familiar with Java and I remember I was hungover. I wasted a lot of time trying to fix the display on Front End (visual part of the software felt like it should be fixed first). I think on just the software instructions as they were intended, it was more like two hours. Perhaps these are issues that the AI does not have to deal with.",6,70,35,105,3,False,False,False,False,False,False,False,14400.0,3.0
anon072,1,1,1,False,8.45,0.7,9.0,14281,,Man,50-59,Italy,Professional,Advanced,Yes,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,14/11/2024 20:55:41,Yes,No,,,4.0,,4.0,4.0,4.0,1.0,3.0,4.0,3.0,5.0,3.0,1.0,I gave myself a time limit (4 hours) and I did my best to refactor the search controller/service in order to make it more modular/easy to change,12/2/2024 16:12:02,,1,642,82,724,15,True,False,True,False,True,False,False,14281.0,4.0
anon060,2,1,0,False,8.29,0.66,,15024,,Man,30-39,Germany,Professional,Intermediate,No,,,,,,,,,,14/11/2024 19:06:43,No,No,,,4.0,,4.0,4.0,5.0,1.0,4.0,4.0,3.0,5.0,4.0,2.0,,12/4/2024 10:39:42,,3,166,197,363,9,False,False,True,False,False,False,False,15024.0,4.2
anon043,0,0,0,False,8.19,0.7,2.0,81832,18000.0,Man,30-39,United States,Professional,Intermediate,No,,,,,,,,,,14/11/2024 17:25:10,No,No,,,4.0,,4.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,3.0,5.0,,1/10/2025 16:41:27,"I tried to complete the task in one sitting, but after getting stuck for a couple hours without making progress, I checked in my changes and intended to give up completely. But the tool didn't let me submit the task without completing it. So the next day I decided I'd give it another shot, and I guess I brought a fresh mindset and was able to get myself unstuck very quickly. As for the time estimate, I think I spent just over four hours the first day, and maybe half an hour or so the next day. That makes a total of roughly five hours.",2,23,16,39,4,False,False,False,False,True,True,False,18000.0,3.0
anon083,0,0,0,False,8.46,0.74,4.0,1127031,,Man,30-39,Australia,Professional,Advanced,Yes,4.0,3.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,23/11/2024 22:14:17,Yes,No,,,4.0,,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,Thanks was fun,1/20/2025 20:47:11,,1,247,65,312,7,True,False,True,False,False,False,False,,4.2
anon029,1,2,3,False,8.3,0.69,8.0,11394,,Man,20-29,Australia,Professional,Advanced,Yes,2.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,22/11/2024 10:24:48,Yes,No,,,4.0,,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,,12/16/2024 13:01:47,,5,156,63,219,8,True,False,True,False,False,True,False,11394.0,3.5
anon075,1,1,1,False,8.24,0.7,6.0,963933,,Man,50-59,Canada,Professional,Advanced,Yes,3.0,3.0,5.0,1.0,4.0,2.0,3.0,1.0,2.0,22/11/2024 01:15:02,Yes,No,,,5.0,,5.0,5.0,4.0,1.0,3.0,3.0,4.0,5.0,3.0,1.0,I hope I did it correctly!,12/9/2024 18:09:35,,1,282,151,433,15,True,False,True,False,True,False,False,,4.2
anon058,1,2,1,False,8.58,0.73,18.0,963933,14400.0,Man,40-49,Ireland,Professional,Advanced,No,,,,,,,,,,16/11/2024 10:52:13,No,No,,,5.0,GitHub Codespaces,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,"It was frustrating for me, that I wasn't able to clone the repository to my local environment where I had the tools that I was familiar with. Therefore I couldn't progress as fluently as I usually do.",12/9/2024 14:26:38,"It took me 2 sessions to complete the task. The first time 1 spent 2 hours, but the majority of this was setting up my environment. I felt that this should be fast and easy, but for some reason I couldn't clone the repository to my local, so I ended up using the GitHub online development environment, which I felt clumsy. Probably, because I didn't have experience with that.
Anyway, I could get back to the task only 2 weeks later, when I spent 2 more hours wrapping up the remaining part of the project. 
I found the task itself interesting, though quite easy, but I realized how much I rely on the tools provided by the IDE I'm using (Eclipse STS) and how much harder to progress when I need to use a different IDE. I think, I could have finished the task in a single 2 hour session considering the complexity and the necessary steps to perform.",10,357,40,397,9,True,False,True,False,False,False,False,14400.0,4.1
anon117,1,2,1,False,8.34,0.69,10.0,1207995,,Man,40-49,Sweden,Professional,Advanced,Yes,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,16/11/2024 09:20:38,Yes,No,,,3.0,SonarQube,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,,12/12/2024 5:02:28,,5,456,316,772,13,True,False,True,False,False,False,False,,3.5
anon034,0,2,2,False,8.57,0.72,4.0,10013,9000.0,Man,30-39,Switzerland,Professional,Intermediate,No,,,,,,,,,,15/11/2024 19:27:46,"Yes, but breaks",No,,,4.0,,5.0,4.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0,1.0,My 5 months old baby interrupted my flow a few times :),11/25/2024 20:26:07,2.5 hours should be a good estimate. I've took one or two smalls breaks to check on my baby girl and a small vape break.,2,491,60,551,20,True,True,True,False,False,False,False,9000.0,4.6
anon134,0,1,3,False,8.2,0.69,4.0,12723,,Man,30-39,Australia,Professional,Advanced,No,,,,,,,,,,16/11/2024 02:13:04,Yes,No,,,5.0,Firefox debug window,4.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,2.0,"It was interesting to consider how to approach the ambiguous requirements (e.g. 'show all recipes if time > 500' - do i take it literally, or just ignore this because no recipe actually takes that long?); and i had to decide whether to refactor the DTOs to match the apparent design of the backend API or not (i chose to do the refactoring).",11/22/2024 12:43:31,,1,166,90,256,10,True,True,True,False,False,False,False,12723.0,4.6
anon036,2,1,1,True,8.17,0.7,15.0,386746,,Man,40-49,Ukraine,Professional,Beginner,Yes,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,15/11/2024 18:38:38,No,Yes,ChatGPT,Sometimes,2.0,,4.0,4.0,4.0,1.0,5.0,3.0,4.0,4.0,3.0,4.0,"I felt a bit concerned when using AI for that task but Java is not my primary language (currently, I program in Go, but I have 10+ years of experience in C#). Despite that, I learned a lot. I would like to participate in similar activities in the future.",1/29/2025 19:58:29,,3,413,161,574,9,True,False,True,False,False,False,False,,3.8
anon062,0,4,0,False,8.26,0.71,2.0,176659,10800.0,Man,60-69,Ireland {Republic},Professional,Advanced,Yes,2.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,15/11/2024 10:45:53,"Yes, but with short breaks",No,,,5.0,,5.0,5.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,,3/14/2025 12:31:48,,2,65,33,98,3,False,False,True,False,True,True,False,10800.0,4.1
anon018,2,1,0,False,8.63,0.74,,84513,,Man,30-39,United States,Professional,Advanced,Yes,2.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,14/11/2024 15:37:47,,,,,,,,,,,,,,,,,,,,38,449,119,568,12,True,False,True,False,True,False,False,,
anon074,1,4,0,False,8.18,0.71,,513882,7200.0,Man,50-59,United States,Professional,Advanced,Yes,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,14/11/2024 14:18:04,Yes,No,,,3.0,,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,It was interesting,1/29/2025 13:15:01,,1,33,15,48,5,False,False,False,False,False,False,False,7200.0,3.6
anon150,1,1,1,False,8.24,0.72,1.0,11895,,Man,30-39,India,Professional,Advanced,Yes,2.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,14/11/2024 13:12:00,Yes,No,,,4.0,,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,"Even though I made the acceptance tests pass, I didn't do a few other things like refactoring the code for filtering recipes. I would definitely have done it for my regular work.",12/2/2024 17:30:22,,2,44,4,48,4,False,False,False,False,True,False,False,11895.0,2.8
anon012,0,2,1,False,8.42,0.73,3.0,30732,12600.0,Man,30-39,Canada,Professional,Advanced,Yes,2.0,4.0,4.0,5.0,2.0,1.0,5.0,1.0,3.0,14/11/2024 12:40:22,"Yes, but breaks",No,,,5.0,,5.0,2.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,"I am not as familiar with JPA and Java to be effectively solving the coding challenge. In .NET I would have been able to finish the task in the suggested 2-4h. Most of my time was spent on discovering the framework for testing, spring annotations, Java standards/practices. (If you check the commit times there is a bigger gap in between. I was reading one article / stack overflow page after another) As for the actual code change that was needed to make the application functional (with the defects) was probably less than 10m of work [w/o testing], after spending ~30m getting familiar with the repo. The rest was just to write the code in a way that's maintainable. It's a very well sized coding exercise.",11/21/2024 18:34:05,"Thanks for involving me in the research. I found it extremely interesting and am curious about the findings. I believe I provided feedback on the total time spent on the follow-up questionnaire. I wrote something along the lines of, ""The timeframe is probably reasonable, except I had to dust off some of my JEE knowledge, so I did some reading as well."" If you read contradictions between what I am about to say now and what I said there, then past me is correct. Having said that, I'd say I spent about 3.5 hours total on the task. (Half of it was reading documents and SO; reacquainting myself with JEE, the other half was making the changes.) I wanted to do it in one sitting, but I also have a toddler and a newborn in the house, so interruptions were unavoidable.",10,602,286,888,21,True,True,True,False,True,False,False,12600.0,3.7
anon125,1,1,2,False,8.0,0.69,11.0,237249,,Man,50-59,Denmark,Professional,Intermediate,No,,,,,,,,,,14/11/2024 09:20:12,No,No,,,5.0,,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,,11/18/2024 19:47:28,,1,68,43,111,4,False,False,True,False,False,True,False,,4.0
anon008,1,2,0,False,8.17,0.73,1.0,7459,,Man,30-39,Poland,Professional,Intermediate,Yes,2.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,2.0,14/11/2024 08:21:36,Yes,No,,,3.0,,5.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,"I had no prior knowledge of Spring framework, and limited Java knowledge. However I work daily on web applications, overall it was similar problem.",11/25/2024 11:47:29,,6,180,38,218,8,False,False,False,False,True,True,False,7459.0,4.3
anon028,0,2,1,False,8.21,0.71,1.0,12112,,Man,60-69,Singapore,Professional,Advanced,Yes,4.0,4.0,4.0,3.0,5.0,2.0,4.0,2.0,3.0,14/11/2024 07:13:06,Yes,No,,,3.0,,5.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,3.0,4.0,A debrief once the study concludes,12/3/2024 10:35:07,,3,183,55,238,12,False,False,True,False,False,False,False,12112.0,3.4
anon015,4,0,1,False,8.24,0.71,1.0,188651,12600.0,Man,20-29,United States,Professional,Advanced,Yes,4.0,3.0,4.0,5.0,2.0,,2.0,3.0,3.0,14/11/2024 02:11:40,No,No,,,3.0,,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,"I spent a large chunk of the time figuring out why the data wasn't populating, which is a realistic issue. However, the method used to seed the database, and for there to be a bug in that, felt unrealistic. So I had spent a lot of time trying to debug this, to find out that the seeding was an issue. While seeding is common practice, having some API endpoint to populate seed data seemed to be a strange example. If it was more of an error where creating new recipes had a bug, that would've made more sense. Also, it took a while to find a db tool to actually help me figure out that the problem wasn't from the api -> client, but from the api -> db. Anyways, once figuring that out I was able to solve the rest of the task within like 15 minutes.",2/14/2025 10:50:11,"I spent about 3 and a half hours total on this, between two sessions.
First session was getting familiar with the environment, and eventually running into the bug designed for the project. The bug was unclear, so I reached out for some guidance there. I did eventually discover the issue on my own though. 
Next session took about an hour confirming, and fixing the bug, and it only took about 30 minutes to do the rest of the work. (new features)",2,76,47,123,6,False,False,True,False,True,False,False,12600.0,3.4
anon031,0,2,2,False,8.46,0.71,6.0,17654,,Man,20-29,Austria,Professional,Intermediate,No,,,,,,,,,,14/11/2024 00:13:49,Yes,No,,,4.0,,4.0,5.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,1.0,Importing Data from the Backend-API into the local database was extremly confusing. Partly because the README did not state that the Backend-API was externally hosted and not Part of the Excercise Code. Partly because Java's @Autowire-Annotation being unfamiliar for Programmers from other languages,11/26/2024 0:58:21,,2,144,51,195,6,False,False,True,False,False,True,False,17654.0,4.1
anon111,1,1,1,False,8.51,0.7,1.0,13141,,Man,30-39,United Kingdom,Professional,Advanced,No,,,,,,,,,,13/11/2024 22:58:08,Yes,No,,,4.0,,5.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,I spent most of an hour setting up my dev environment at the start because I didn't have the right JDK enabled in the terminal and I hadn't set it up in the OS I used before. I also didn't have my IDE configured the way I like so I spent some time on that. If I'd been more prepared I'd have got into coding earlier. I also shied away from getting rid of mocks in the ways I normally would. In a real project I'd prioritise the test setup a bit more.,11/19/2024 17:26:48,,29,477,296,773,25,True,False,True,False,False,False,False,13141.0,4.1
anon081,0,0,0,False,8.25,0.71,5.0,4419149,52200.0,Man,30-39,Switzerland,Professional,Advanced,No,,,,,,,,,,13/11/2024 22:15:21,No,No,,,4.0,,3.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,1.0,5.0,"Not fluent with java, so a lot of reading up of the basics was required",,"It's a bit hard to estimate the exact time, since a lot of time was spent on just reading up. I had not used java before, so I thought that was a good opportunity to get to know the language. I think I spend like ~10-15 h just reading up on java, watching some tutorial (which was spread over a few weeks whenever I found time). And maybe 2-4 h on the codebase itself. But of course, the two tasks were mixed, since I went back and forth between the codebase and tutorials, to understand what understanding of concepts/features I was still missing. I guess, that's a big part of the programming workflow, when developing with a new tech-stack.",3,96,74,170,4,False,False,False,False,True,False,False,52200.0,2.4
anon061,1,2,0,False,8.5,0.72,3.0,467792,18000.0,Man,20-29,Poland,Professional,Advanced,No,,,,,,,,,,13/11/2024 22:06:34,No,No,,,5.0,Chrome,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,I would be interested in reading the final results.,12/2/2024 17:03:58,"I believe I spend somewhere between 2-4 hours, then break 2-4 hours, and then 1-3 hours again.",12,409,263,672,23,True,False,True,False,False,True,False,18000.0,4.2
anon063,1,3,1,False,8.12,0.72,3.0,179479,3600.0,Woman,40-49,Germany,Professional,Advanced,Yes,3.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,13/11/2024 21:43:11,Yes,No,,,4.0,,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,2.0,Not relying on LLMs as I usually do these days made me reconsider their value. Honestly I'm not sure if they actually have that much value as I initially expected.,11/26/2024 17:49:19,,5,79,54,133,6,True,False,True,False,False,False,False,3600.0,4.4
anon114,1,4,0,False,8.51,0.71,16.0,242978,27000.0,Undisclosed,30-39,Netherlands,Professional,Advanced,Yes,2.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,13/11/2024 21:33:23,No,No,,,3.0,,4.0,2.0,4.0,1.0,3.0,4.0,3.0,5.0,3.0,4.0,"I was less familiar with the tech-stack than I expected. This is somewhat normal for the job that I have. However, this meant I had to split my work into two sessions. While I had created a working solution in the first session, it is not something I would have submitted to any real client. I used the second session to create a solution to the standard I normally aim for when working with clients.",11/18/2024 19:38:04,"I did the task in two sessions. During the first session I spend around between 3 and 3.5 hours on the task. During that session I mainly focused on understanding the codebase, but also already found/solved the issues I needed to address. But, I also noticed that I felt much less comfortable in the codebase than I had assumed initially. It has been a bit over 10 years that Ilast actively worked on a Java project. The next session took me 4.5 to 5 hours. I used that time to get the changes to the quality I would feel comfortable handing to a paying client. So, the total time estimate that I spent on the task is 7.5 hours.",5,191,57,248,12,False,False,False,False,True,False,False,27000.0,3.5
anon041,1,3,0,False,8.19,0.7,9.0,2349704,28800.0,Man,20-29,France,Professional,Beginner,No,,,,,,,,,,13/11/2024 21:25:58,No,No,,,1.0,,5.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,"As a mainly C/C++ embedded developer, it was fun to learn something new!",12/28/2024 15:45:16,I would say that I spent about 8 hours actively working on the task. It was a nice change of pace from the embedded programming I am used to.,5,51,24,75,7,False,False,False,False,True,True,False,28800.0,3.7
anon142,1,2,0,False,8.35,0.7,18.0,8818,,Man,30-39,Germany,Professional,Intermediate,Yes,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,13/11/2024 20:10:09,Yes,No,,,2.0,,5.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,,11/25/2024 20:22:08,,5,197,93,290,9,True,False,False,False,True,False,False,8818.0,4.2
anon002,0,0,0,False,8.18,0.69,2.0,3674133,28800.0,Man,30-39,Ukraine,Professional,Intermediate,Yes,3.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,13/11/2024 20:02:01,Yes,No,,,4.0,,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,For some reason couldn't find good Maven documentation. In the end just gave up on attaching debugger.,1/14/2025 16:48:28,,1,22,12,34,2,False,False,False,False,True,False,False,28800.0,3.5
anon017,1,1,0,False,8.23,0.7,2.0,520710,21600.0,Man,40-49,Poland,Professional,Intermediate,Yes,2.0,4.0,4.0,5.0,2.0,1.0,3.0,1.0,2.0,13/11/2024 19:58:06,No,No,,,3.0,,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,,11/29/2024 21:56:37,"My best estimate is 4 hours of coding total (two sessions). Also, I have spent extra 2 hours troubleshooting unfamiliar tools required by the task (like authentication problem with eGit client or weird errors in github actions).",1,23,11,34,3,False,False,False,False,False,True,False,21600.0,3.6
anon080,2,1,0,False,8.41,0.56,13.0,116487,21600.0,Man,60-69,Netherlands,Professional,Advanced,Yes,2.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,13/11/2024 19:53:21,No,No,,,4.0,,5.0,3.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,1.0,"trying to find the missing part in the ingestion of the base data (the summary json) put me off for a long time and made me gave up in a first round. Then in a new sitting with short breaks I first tested some extra functionality. Then I stumbled upon the missing summary data, and completed it with the summaryDTO. I also refactored the search function with some simplification and cleanup to make the added time search easier to add.",11/27/2024 7:51:17,,2,299,65,364,11,True,False,True,False,True,False,False,21600.0,4.1
anon013,1,0,1,False,8.22,0.66,,18270,10800.0,Man,30-39,Germany,Professional,Intermediate,No,,,,,,,,,,13/11/2024 19:46:57,"Yes, but breaks",No,,,4.0,,5.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,"It has been some time since I did the exercise, so I'm not completely sure. If I remember correctly, I took one long break and in total ended up with a working time of about 3 hours, as the task description asked for.",11/29/2024 9:16:31,,2,235,270,505,11,False,False,True,False,True,False,False,10800.0,4.0
anon116,1,2,1,False,8.55,0.71,14.0,88615,28800.0,Woman,30-39,India,Professional,Advanced,No,,,,,,,,,,11/10/2024 9:39:39,"Yes, but breaks",No,,,3.0,,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,"I feel refactoring was fast, but doing the solution in one sitting was a little tricky, the problem statement is bigger and took more than mentioned in Readme.

There are many points to fix/refactor in the code, that took time and more than one sitting. The mundane task of creating test data- rewriting the test data utility slowed me down.",10/24/2024 9:48:55,"I do not remember as of today, but it was for sure lower than 25 hours - I would guess it was roughly around or less than 8-8.5 hours.",7,660,512,1172,29,True,False,False,True,True,False,True,28800.0,3.4
anon056,1,2,1,False,8.28,0.71,2.0,20873,5400.0,Man,30-39,India,Professional,Advanced,No,,,,,,,,,,10/10/2024 10:10:53,No,No,,,4.0,,3.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,"It took around 4 hrs but I was interrupted by some calls, in actual it took around 1.5 hr to understand and code and I was also a little unsure about the quality I was pushing and I had never used webflux so took some time to understand it via code only ( no googling)",10/24/2024 9:47:33,,1,54,40,94,3,False,False,True,False,True,False,False,5400.0,3.8
anon124,1,1,1,False,8.27,0.7,1.0,5554287,19200.0,Man,40-49,United Kingdom,Professional,Intermediate,Yes,3.0,4.0,5.0,4.0,,4.0,3.0,4.0,4.0,11/10/2024 14:13:54,No,No,,,4.0,,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,,1/7/2025 21:39:33,1hr - initial read through and head scratching and project setup 2hrs - fixing bug and getting to grips with unfamiliar code 2 hrs - implementing changes to pass the tests 20mins - working out how it should be submitted,1,54,33,87,4,False,False,True,False,False,False,True,19200.0,2.7
anon019,3,2,0,False,8.38,0.71,1.0,13194,,Man,20-29,United Kingdom,Professional,Advanced,Yes,1.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,09/10/2024 12:57:22,Yes,No,,,4.0,,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,2.0,It felt fulfilling to refactor the code into something readable,11/5/2024 15:53:38,,4,76,54,130,4,False,False,True,False,True,False,False,13194.0,4.0
